Rank,Currency_Name,Market_Capital,Price,Circulating_Supply,Volume(24h),Change(24h)
91,ATC Coin,12751674.00,1.21,10525960.00,498063.00,-0.007
92,Energycoin,12526103.00,0.10,121243039.00,20940.00,0.0011
93,Rubycoin,12519449.00,0.50,24792314.00,45798.00,-0.0788
94,Gambit,12437419.00,10.42,1193530.00,114899.00,0.0029
95,E-coin,12348031.00,3.08,4008919.00,69387.00,-0.0189
96,SaluS,12276886.00,12.23,1004195.00,51408.00,-0.0408
97,Groestlcoin,12211006.00,0.18,68438903.00,1205620.00,-0.0453
98,BlackCoin,12208321.00,0.16,76386509.00,324479.00,-0.0181
99,Golos,11820678.00,0.09,124518891.00,12482.00,-0.0569
100,GridCoin,11816250.00,0.03,390312753.00,276327.00,-0.052
